# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.32302886679202825, 0.23587910385148092, 1.1, 1.1
-0.6460986706146405, 0.4717020724056482, 1.1, 1.1
-0.9699990599321362, 0.7063821450129879, 1.1, 1.1
-1.2955245916808171, 0.9388012767336278, 1.1, 1.1
-1.6235192147212043, 1.167720352633765, 1.1, 1.1
-1.9548379754062095, 1.3917970718767947, 1.1, 1.1
-2.2902987081346446, 1.609618003622309, 1.1, 1.1
-2.6308235129914497, 1.8194261071543067, 1.1, 1.1
-2.977415451600451, 2.019039127781028, 1.1, 1.1
-3.3308457751914577, 2.206259266602835, 1.1, 1.1
-3.692181681435855, 2.377697063364195, 1.1, 1.1
-4.061988833794157, 2.529942587210307, 1.1, 1.1
-4.440649072973224, 2.6585244911509704, 1.1, 1.1
-4.827943995593007, 2.758009133430221, 1.1, 1.1
-5.222573575166831, 2.8222795051564873, 1.1, 1.1
-5.62169835370261, 2.8451033651977866, 1.1, 1.1
-6.020709633421882, 2.8212176020190256, 1.1, 1.1
-6.413936442520027, 2.7493719181064407, 1.1, 1.1
-6.796810649323308, 2.634327522555104, 1.1, 1.1
-7.166640139394912, 2.482361568645395, 1.1, 1.1
-7.5222288115912646, 2.2994412702157163, 1.1, 1.1
-7.863216281614945, 2.090516832599114, 1.1, 1.1
-8.190290554365252, 1.860396132928635, 1.1, 1.1
-8.504054766744357, 1.612404830734036, 1.1, 1.1
-8.805330409595765, 1.3493675986376132, 1.1, 1.1
-9.09495276895256, 1.0735397611166348, 1.1, 1.1
-9.373866342409833, 0.7868782719831344, 1.1, 1.1
-9.64255258201009, 0.49060275128351094, 1.1, 1.1
-9.901823527762517, 0.1860512490442261, 1.1, 1.1
-10.15228113355495, -0.12579148600956813, 1.1, 1.1
-10.394402452578152, -0.4441538542130061, 1.1, 1.1
-10.628479249234243, -0.7684789913344332, 1.1, 1.1
-10.854932463954196, -1.0981727500706953, 1.1, 1.1
-11.074087768429795, -1.4327626947649748, 1.1, 1.1
-11.286357864091311, -1.771765021222656, 1.1, 1.1
-11.49242237065192, -2.1145772373978886, 1.1, 1.1
-11.693345975762586, -2.4604292952690727, 1.1, 1.1
-11.890210679764461, -2.8086094303592333, 1.1, 1.1
-12.084071953875362, -3.1584719849370586, 1.1, 1.1
-12.276232312135733, -3.509272326048219, 1.1, 1.1
-12.467986143374432, -3.860295232734032, 1.1, 1.1
-12.660739875384436, -4.2107695866442825, 1.1, 1.1
-12.856016340131443, -4.559843196390574, 1.1, 1.1
-13.055352335691165, -4.9066126110974935, 1.1, 1.1
-13.26057964022132, -5.2499244745820945, 1.1, 1.1
-13.47334024459252, -5.588613145061871, 1.1, 1.1
-13.69546702823434, -5.92122828068625, 1.1, 1.1
-13.928938832248885, -6.245972513513955, 1.1, 1.1
-14.175512219242684, -6.560870149888132, 1.1, 1.1
-14.436770956540887, -6.863676845316704, 1.1, 1.1
-14.714055967762338, -7.151860391091937, 1.1, 1.1
-15.008239475009258, -7.422752114130361, 1.1, 1.1
-15.319153763916159, -7.674265326908348, 1.1, 1.1
-15.644824904671786, -7.906377405437681, 1.1, 1.1
-15.982889068953515, -8.120064986363062, 1.1, 1.1
-16.33134169756082, -8.31637528314856, 1.1, 1.1
-16.688204352716255, -8.49695593722653, 1.1, 1.1
-17.051913374891676, -8.66333393418551, 1.1, 1.1
-17.421220355983152, -8.816905323539324, 1.1, 1.1
-17.79507483573783, -8.95905884984041, 1.1, 1.1
-18.1725201878837, -9.091396016064465, 1.1, 1.1
-18.552941914093992, -9.2149266465184, 1.1, 1.1
-18.935651439965152, -9.331183041495208, 1.1, 1.1
-19.320245608076593, -9.441050787556655, 1.1, 1.1
-19.7062594607277, -9.545825804395285, 1.1, 1.1
-20.093389648289357, -9.646401931520664, 1.1, 1.1
-20.481329199114285, -9.743812450794778, 1.1, 1.1
-20.869821972538215, -9.838994828012261, 1.1, 1.1
-21.258645522286418, -9.932818105151306, 1.1, 1.1
-21.647574235574307, -10.026204849005524, 1.1, 1.1
-22.036399857616257, -10.120019523209002, 1.1, 1.1
-22.42490169980313, -10.215164888192156, 1.1, 1.1
-22.812861904355792, -10.312493330738832, 1.1, 1.1
-23.200020548915884, -10.412960026786415, 1.1, 1.1
-23.58609811161048, -10.517500354773055, 1.1, 1.1
-23.97079046972293, -10.627024356045922, 1.1, 1.1
-24.353665317718075, -10.742736217056446, 1.1, 1.1
-24.734339457576134, -10.865488257199495, 1.1, 1.1
-25.112180849494763, -10.996692443897288, 1.1, 1.1
-25.486641182786336, -11.137248530670597, 1.1, 1.1
-25.8567784694051, -11.288812826582792, 1.1, 1.1
-26.221773096063334, -11.452358551547768, 1.1, 1.1
-26.580409321957468, -11.629404204554923, 1.1, 1.1
-26.931266767540105, -11.821386574810127, 1.1, 1.1
-27.27284093222848, -12.029418642498769, 1.1, 1.1
-27.603293079485567, -12.254690400021445, 1.1, 1.1
-27.9204380173814, -12.498329182797676, 1.1, 1.1
-28.222087980700366, -12.760888239545814, 1.1, 1.1
-28.506085195771036, -13.042429745091923, 1.1, 1.1
-28.771206408428863, -13.34182751478437, 1.1, 1.1
-29.018657082146674, -13.656018167547664, 1.1, 1.1
-29.25035116990312, -13.982021538021993, 1.1, 1.1
-29.468907228722202, -14.316985339924486, 1.1, 1.1
-29.676825763063853, -14.658665533095391, 1.1, 1.1
-29.87637668868651, -15.005307047172387, 1.1, 1.1
-30.070095518466037, -15.35524546324677, 1.1, 1.1
-30.260243625141424, -15.70713980169759, 1.1, 1.1
-30.449060793703172, -16.059751041295428, 1.1, 1.1
-30.63871548038385, -16.41191196291121, 1.1, 1.1
-30.83140065968064, -16.76242166588827, 1.1, 1.1
-31.029115660727307, -17.11011561935048, 1.1, 1.1
-31.234144615930497, -17.45354165028806, 1.1, 1.1
-31.448273135530542, -17.791362341866495, 1.1, 1.1
-31.673872291711852, -18.121623386033452, 1.1, 1.1
-31.91245549141496, -18.442616587812793, 1.1, 1.1
-32.16603298749801, -18.751888089615274, 1.1, 1.1
-32.435782117845534, -19.047139780292866, 1.1, 1.1
-32.7220101470879, -19.32645195591562, 1.1, 1.1
-33.022355618410565, -19.590546855993505, 1.1, 1.1
-33.333646666149775, -19.84167106815373, 1.1, 1.1
-33.65336998370536, -20.081984667251664, 1.1, 1.1
-33.97912746236138, -20.31406612836714, 1.1, 1.1
-34.30899236758442, -20.540280444387967, 1.1, 1.1
-34.64111775824305, -20.763167752242637, 1.1, 1.1
-34.97379741779887, -20.98522815204043, 1.1, 1.1
-35.305310410371014, -21.209023900414646, 1.1, 1.1
-35.633792866292644, -21.437237083385664, 1.1, 1.1
-35.9572240549426, -21.672543562996026, 1.1, 1.1
-36.27300464749054, -21.918002214532677, 1.1, 1.1
-36.578323317996905, -22.1763307859182, 1.1, 1.1
-36.86948170052832, -22.45049537286748, 1.1, 1.1
-37.141787269026985, -22.74335183640646, 1.1, 1.1
-37.39027066135253, -23.05661726916912, 1.1, 1.1
-37.6095043863733, -23.390964835325732, 1.1, 1.1
-37.797460642639024, -23.743882511037803, 1.1, 1.1
-37.95731527842677, -24.11044185767996, 1.1, 1.1
-38.09323365105694, -24.486566382712727, 1.1, 1.1
-38.210357335272484, -24.86897967472468, 1.1, 1.1
-38.31310248476141, -25.25552302317754, 1.1, 1.1
-38.405442424383, -25.644693505186506, 1.1, 1.1
-38.49151442224192, -26.03530360218944, 1.1, 1.1
-38.57481157005955, -26.426517267369245, 1.1, 1.1
-38.65886641983426, -26.817568262781144, 1.1, 1.1
-38.74721622446027, -27.207667689222088, 1.1, 1.1
-38.84308499715498, -27.59598177909044, 1.1, 1.1
-38.95039374101574, -27.981280673807145, 1.1, 1.1
-39.07231157617994, -28.362194792455558, 1.1, 1.1
-39.213101488506645, -28.736524573909257, 1.1, 1.1
-39.375909095167344, -29.101786170718228, 1.1, 1.1
-39.56429901695412, -29.45450945783646, 1.1, 1.1
-39.78000838687286, -29.791203589446365, 1.1, 1.1
-40.01978897036273, -30.11124478576862, 1.1, 1.1
-40.2794218247436, -30.41543602852638, 1.1, 1.1
-40.554042674607686, -30.70619423120756, 1.1, 1.1
-40.84053250158226, -30.98528697072225, 1.1, 1.1
-41.13540949885261, -31.25551646429245, 1.1, 1.1
-41.436270371719985, -31.51907845802394, 1.1, 1.1
-41.74062806122399, -31.7786005267372, 1.1, 1.1
