# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.19179041213830317, 0.35100388246962844, 1.1, 1.1
0.38771929415159434, 0.6997163044871622, 1.1, 1.1
0.5863354447631721, 1.046906469163785, 1.1, 1.1
0.7862900765133745, 1.3933281651918779, 1.1, 1.1
0.9862878223275189, 1.7397250086202973, 1.1, 1.1
1.1850228005039298, 2.086847339274411, 1.1, 1.1
1.381091774805185, 2.4354811705972037, 1.1, 1.1
1.5730371838670436, 2.786399731885836, 1.1, 1.1
1.7592038691062797, 3.1404144214661267, 1.1, 1.1
1.9376020829798577, 3.4984021196450343, 1.1, 1.1
2.1056502798820205, 3.861355122584727, 1.1, 1.1
2.260658883426828, 4.230054149361127, 1.1, 1.1
2.3982910000826436, 4.605567572466868, 1.1, 1.1
2.5137820372432316, 4.9884336917269065, 1.1, 1.1
2.600443176285765, 5.378784387514113, 1.1, 1.1
2.649687822631556, 5.775516970837061, 1.1, 1.1
2.6514000841054397, 6.17519279752222, 1.1, 1.1
2.5942045522323767, 6.570619695215274, 1.1, 1.1
2.4732893659400617, 6.951392187019712, 1.1, 1.1
2.2949012895997924, 7.308992622559091, 1.1, 1.1
2.07121272992282, 7.640281888918093, 1.1, 1.1
1.8136380208277956, 7.946077190322378, 1.1, 1.1
1.531025781819551, 8.228980506385458, 1.1, 1.1
1.2300002717104945, 8.492270988185645, 1.1, 1.1
0.9150769036570239, 8.73880902553038, 1.1, 1.1
0.5898976863578227, 8.97167469001412, 1.1, 1.1
0.25675887537292397, 9.193021652525648, 1.1, 1.1
-0.0823633840358724, 9.405098527970182, 1.1, 1.1
-0.4261199615044049, 9.609587956290577, 1.1, 1.1
-0.7734719676232586, 9.807914394750206, 1.1, 1.1
-1.1234712372187374, 10.001533746125856, 1.1, 1.1
-1.4753879663268918, 10.19164809685998, 1.1, 1.1
-1.8285898712606894, 10.379365679371592, 1.1, 1.1
-2.1825061070314646, 10.565733921095058, 1.1, 1.1
-2.5365992553515753, 10.751766043461412, 1.1, 1.1
-2.89034108239467, 10.938464881789168, 1.1, 1.1
-3.2432563447876177, 11.12672080465706, 1.1, 1.1
-3.595151758541739, 11.316876167519588, 1.1, 1.1
-3.9460034232534937, 11.508950542585259, 1.1, 1.1
-4.29579812704101, 11.702943185087555, 1.1, 1.1
-4.644522966847028, 11.898852617659458, 1.1, 1.1
-4.992149710307963, 12.096703980612803, 1.1, 1.1
-5.338680938902549, 12.296467774970623, 1.1, 1.1
-5.684105569464428, 12.498138952314505, 1.1, 1.1
-6.0284131311283815, 12.701711405875358, 1.1, 1.1
-6.371593799112169, 12.907177964577642, 1.1, 1.1
-6.713621720068048, 13.11455779070341, 1.1, 1.1
-7.0544944140584676, 13.323830985028732, 1.1, 1.1
-7.394213288590656, 13.534972013750954, 1.1, 1.1
-7.73277150362199, 13.747969251151066, 1.1, 1.1
-8.070134916977175, 13.962853919254714, 1.1, 1.1
-8.406320476758651, 14.179576627519127, 1.1, 1.1
-8.741328483315783, 14.398115233003338, 1.1, 1.1
-9.075127569879236, 14.618495957454762, 1.1, 1.1
-9.407732936407356, 14.840674150779916, 1.1, 1.1
-9.739151138252211, 15.064619429738787, 1.1, 1.1
-10.069343312822369, 15.290368508820912, 1.1, 1.1
-10.398349167473384, 15.517843018519581, 1.1, 1.1
-10.726144745782037, 15.747058134193258, 1.1, 1.1
-11.052740043818154, 15.97798026403855, 1.1, 1.1
-11.378141744549339, 16.210581335147666, 1.1, 1.1
-11.70233951718194, 16.444857550988498, 1.1, 1.1
-12.02535920862308, 16.680755461903992, 1.1, 1.1
-12.34718273183654, 16.91828268834663, 1.1, 1.1
-12.667843274926277, 17.157377604595265, 1.1, 1.1
-12.987326381095372, 17.39804361540434, 1.1, 1.1
-13.30566198339018, 17.64022541282982, 1.1, 1.1
-13.622849283236768, 17.88390926916808, 1.1, 1.1
-13.938905749454321, 18.1290580195624, 1.1, 1.1
-14.253852760473073, 18.375630547543853, 1.1, 1.1
-14.567687635279977, 18.62361705077533, 1.1, 1.1
